Name,Origin,Type,Unique Feature,Friendly Rating (1-10),Life Span,Size,Grooming Needs,Exercise Requirements (hrs/day),Good with Children,Intelligence Rating (1-10),Shedding Level,Health Issues Risk,Average Weight (kg),Training Difficulty (1-10)
Affenpinscher,Germany,Toy,Monkey-like face,7.00,14.00,Small,High,1.50,Yes,8.00,Moderate,Low,4.00,6.00
Afghan Hound,Afghanistan,Hound,Long silky coat,5.00,13.00,Large,Very High,2.00,No,4.00,High,Moderate,25.00,8.00
Airedale Terrier,England,Terrier,Largest of terriers,8.00,12.00,Medium,High,2.00,Yes,7.00,Moderate,Low,21.00,6.00
Akita,Japan,Working,Strong loyalty,6.00,11.00,Large,Moderate,2.00,With Training,7.00,High,High,45.00,9.00
Alaskan Malamute,Alaska USA,Working,Strong pulling ability,7.00,11.00,Large,High,3.00,Yes,6.00,Very High,Moderate,36.00,8.00
American Bulldog,USA,Working,Muscular build,8.00,11.00,Large,Low,2.00,Yes,6.00,Moderate,Moderate,42.00,7.00
American Eskimo,USA,Non-Sporting,Pure white coat,9.00,14.00,Small-Medium,High,2.00,Yes,9.00,High,Low,12.00,5.00
American Foxhound,USA,Hound,Musical voice,8.00,12.00,Medium,Low,2.50,Yes,6.00,Moderate,Low,31.00,6.00
Australian Cattle Dog,Australia,Herding,Unique blue or red coat,7.00,14.00,Medium,Moderate,2.50,Yes,9.00,Moderate,Low,15.00,7.00
Australian Shepherd,USA,Herding,Merle coloring,8.00,14.00,Medium,High,2.50,Yes,9.00,High,Moderate,25.00,7.00
Australian Terrier,Australia,Terrier,Small but tough,7.00,13.00,Small,Moderate,1.50,Yes,7.00,Low,Low,6.50,6.00
Basenji,Central Africa,Hound,Doesn't bark,6.00,13.00,Small-Medium,Low,2.00,No,6.00,Low,Low,10.00,9.00
Basset Hound,France,Hound,Short legs long body,8.00,11.00,Medium,Low,1.00,Yes,5.00,Moderate,High,24.00,7.00
Beagle,England,Hound,Excellent sense of smell,9.00,13.00,Small-Medium,Low,2.00,Yes,7.00,Moderate,Moderate,10.00,7.00
Bearded Collie,Scotland,Herding,Long shaggy coat,8.00,13.00,Medium,Very High,2.00,Yes,8.00,High,Low,22.00,6.00
Bernese Mountain Dog,Switzerland,Working,Tri-colored coat,9.00,8.00,Large,High,1.50,Yes,7.00,High,High,43.00,5.00
Bichon Frise,Mediterranean,Non-Sporting,Cotton-like coat,9.00,13.00,Small,Very High,1.00,Yes,8.00,Low,Low,4.00,5.00
Black Russian Terrier,Russia,Working,Black protective coat,7.00,11.00,Large,High,2.00,Yes,8.00,Moderate,Moderate,50.00,8.00
Bloodhound,Belgium,Hound,Superior tracking ability,7.00,11.00,Large,Moderate,2.00,Yes,6.00,Moderate,High,43.00,8.00
Border Collie,UK,Herding,Highest intelligence,8.00,13.00,Medium,High,3.00,Yes,10.00,Moderate,Low,17.00,6.00
Border Terrier,UK,Terrier,Otter-like head,8.00,13.00,Small,Moderate,1.50,Yes,7.00,Moderate,Low,6.00,6.00
Borzoi,Russia,Hound,Graceful build,6.00,11.00,Large,High,2.00,No,6.00,Moderate,Low,37.00,7.00
Boston Terrier,USA,Non-Sporting,Tuxedo-like markings,9.00,12.00,Small,Low,1.50,Yes,8.00,Low,Moderate,9.00,5.00
Bouvier des Flandres,Belgium,Herding,Beard and mustache,7.00,11.00,Large,Very High,2.00,Yes,8.00,High,Moderate,34.00,7.00
Boxer,Germany,Working,Wrinkled forehead,9.00,11.00,Large,Low,2.00,Yes,7.00,Moderate,Moderate,28.00,6.00
Briard,France,Herding,Long protective coat,7.00,12.00,Large,High,2.00,Yes,8.00,Moderate,Low,35.00,7.00
Brittany,France,Sporting,Bright orange coloring,8.00,13.00,Medium,Moderate,2.50,Yes,8.00,Moderate,Low,17.00,5.00
Brussels Griffon,Belgium,Toy,Human-like expression,7.00,13.00,Small,High,1.50,Yes,8.00,Moderate,Moderate,4.00,7.00
Bull Terrier,England,Terrier,Egg-shaped head,7.00,12.00,Medium,Low,2.00,With Training,7.00,Low,Moderate,27.00,7.00
Bullmastiff,England,Working,Powerful guardian,6.00,9.00,Large,Low,1.50,With Training,6.00,Moderate,High,52.00,7.00
Cairn Terrier,Scotland,Terrier,Weather-resistant coat,8.00,14.00,Small,Moderate,1.50,Yes,7.00,Moderate,Low,7.00,6.00
Canaan Dog,Israel,Herding,Desert-adapted,6.00,13.00,Medium,Low,2.00,With Training,8.00,Moderate,Low,21.00,8.00
Cane Corso,Italy,Working,Ancient Roman guardian,6.00,11.00,Large,Low,2.00,With Training,7.00,Low,Moderate,45.00,9.00
Cardigan Welsh Corgi,Wales,Herding,Long tail unlike Pembroke,8.00,13.00,Small,Moderate,2.00,Yes,8.00,High,Moderate,13.00,6.00
Cavalier King Charles Spaniel,UK,Toy,Ruby colored coat,10.00,11.00,Small,Moderate,1.00,Yes,6.00,Moderate,High,6.00,4.00
Chesapeake Bay Retriever,USA,Sporting,Waterproof coat,7.00,11.00,Large,Moderate,2.50,Yes,7.00,Moderate,Low,30.00,7.00
Chihuahua,Mexico,Toy,Smallest dog breed,6.00,16.00,Small,Low,1.00,No,7.00,Low,Moderate,2.00,7.00
Chinese Crested,China,Toy,Hairless variety,7.00,14.00,Small,High,1.00,Yes,8.00,Low,Low,3.00,6.00
Chinese Shar-Pei,China,Non-Sporting,Wrinkled skin,6.00,10.00,Medium,Low,1.50,With Training,6.00,Moderate,High,22.00,8.00
Chow Chow,China,Non-Sporting,Blue-black tongue,5.00,10.00,Medium,High,1.50,No,5.00,High,High,26.00,9.00
Clumber Spaniel,England,Sporting,Massive head,7.00,11.00,Medium,Moderate,1.50,Yes,6.00,High,Moderate,31.00,6.00
Cocker Spaniel,England,Sporting,Long ears,9.00,13.00,Small-Medium,High,1.50,Yes,7.00,High,Moderate,12.00,5.00
Collie,Scotland,Herding,Lassie fame,9.00,13.00,Medium,High,2.00,Yes,8.00,High,Moderate,24.00,5.00
Curly-Coated Retriever,England,Sporting,Curly water-resistant coat,7.00,12.00,Large,Moderate,2.00,Yes,7.00,Low,Low,32.00,6.00
Dachshund,Germany,Hound,Long body short legs,7.00,14.00,Small,Low,1.50,With Training,7.00,Moderate,High,10.00,7.00
Dalmatian,Croatia,Non-Sporting,Spotted coat,8.00,12.00,Medium,Low,2.50,Yes,7.00,Moderate,High,24.00,7.00
Dandie Dinmont Terrier,Scotland,Terrier,Distinctive topknot,7.00,13.00,Small,Moderate,1.50,Yes,7.00,Low,Low,8.00,7.00
Doberman Pinscher,Germany,Working,Sleek appearance,8.00,11.00,Large,Low,2.50,With Training,9.00,Low,Moderate,35.00,7.00
English Bulldog,England,Non-Sporting,Pushed-in nose,7.00,9.00,Medium,Low,1.00,Yes,6.00,Moderate,High,20.00,7.00
English Cocker Spaniel,England,Sporting,Merry temperament,8.00,12.00,Medium,High,1.50,Yes,7.00,Moderate,Moderate,14.00,5.00
English Foxhound,England,Hound,Pack hunting ability,7.00,12.00,Medium,Low,2.50,Yes,6.00,Moderate,Low,29.00,7.00
English Setter,England,Sporting,Speckled coat,8.00,12.00,Medium,High,2.00,Yes,7.00,Moderate,Moderate,26.00,6.00
English Springer Spaniel,England,Sporting,Dual-purpose hunter,9.00,13.00,Medium,High,2.00,Yes,7.00,Moderate,Moderate,20.00,6.00
English Toy Spaniel,England,Toy,Domed head,8.00,11.00,Small,High,1.00,Yes,7.00,Moderate,Moderate,5.00,6.00
Entlebucher Mountain Dog,Switzerland,Herding,Tri-colored markings,7.00,12.00,Medium,Low,2.50,Yes,8.00,Moderate,Low,27.00,7.00
Field Spaniel,England,Sporting,Noble appearance,7.00,12.00,Medium,High,2.00,Yes,7.00,Moderate,Low,18.00,6.00
Finnish Lapphund,Finland,Herding,Thick double coat,8.00,12.00,Medium,High,2.00,Yes,7.00,High,Low,20.00,6.00
Finnish Spitz,Finland,Non-Sporting,Fox-like appearance,7.00,13.00,Medium,Moderate,2.00,Yes,8.00,Moderate,Low,15.00,7.00
Flat-Coated Retriever,England,Sporting,Shiny black coat,9.00,11.00,Large,Moderate,2.50,Yes,8.00,Moderate,Moderate,32.00,5.00
French Bulldog,France,Non-Sporting,Bat ears,8.00,11.00,Small,Low,1.00,Yes,7.00,Low,High,11.00,6.00
German Pinscher,Germany,Working,Elegant appearance,7.00,13.00,Medium,Low,2.00,With Training,8.00,Moderate,Low,13.00,7.00
German Shepherd,Germany,Herding,Police dog fame,8.00,11.00,Large,Moderate,2.50,With Training,9.00,High,Moderate,31.00,6.00
German Shorthaired Pointer,Germany,Sporting,Versatile hunter,8.00,13.00,Large,Low,2.50,Yes,8.00,Moderate,Low,26.00,6.00
German Wirehaired Pointer,Germany,Sporting,Weather resistant coat,7.00,13.00,Large,Moderate,2.50,Yes,8.00,Moderate,Low,27.00,7.00
Giant Schnauzer,Germany,Working,Beard and eyebrows,7.00,13.00,Large,High,2.00,With Training,8.00,Low,Moderate,38.00,8.00
Golden Retriever,Scotland,Sporting,Golden coat,10.00,11.00,Large,High,2.00,Yes,8.00,High,Moderate,29.00,4.00
Gordon Setter,Scotland,Sporting,Black and tan coat,8.00,11.00,Large,High,2.00,Yes,7.00,Moderate,Moderate,26.00,6.00
Great Dane,Germany,Working,Giant size,8.00,8.00,Giant,Low,2.00,Yes,6.00,Moderate,High,67.00,6.00
Great Pyrenees,France,Working,White guardian,7.00,11.00,Large,High,1.50,Yes,6.00,High,Moderate,46.00,8.00
Greater Swiss Mountain Dog,Switzerland,Working,Tri-colored markings,8.00,10.00,Large,Low,2.00,Yes,7.00,Moderate,Moderate,61.00,7.00
Greyhound,Egypt,Hound,Fastest dog breed,7.00,11.00,Large,Low,2.00,Yes,7.00,Low,Low,33.00,6.00
Harrier,England,Hound,Pack hunting ability,8.00,12.00,Medium,Low,2.00,Yes,6.00,Moderate,Low,25.00,6.00
Havanese,Cuba,Toy,Silky coat,9.00,14.00,Small,High,1.50,Yes,8.00,Low,Low,5.00,5.00
Ibizan Hound,Spain,Hound,Large ears,7.00,13.00,Medium,Low,2.00,Yes,7.00,Low,Low,22.00,7.00
Icelandic Sheepdog,Iceland,Herding,Spitz-type tail,8.00,12.00,Medium,Moderate,2.00,Yes,7.00,Moderate,Low,14.00,6.00
Irish Red and White Setter,Ireland,Sporting,Red and white coat,8.00,12.00,Large,High,2.50,Yes,7.00,Moderate,Moderate,27.00,6.00
Irish Setter,Ireland,Sporting,Rich red coat,8.00,13.00,Large,High,2.50,Yes,7.00,High,Moderate,29.00,6.00
Irish Terrier,Ireland,Terrier,Fiery red coat,7.00,13.00,Medium,Moderate,1.50,Yes,7.00,Low,Low,11.00,7.00
Irish Water Spaniel,Ireland,Sporting,Curly coat,8.00,11.00,Large,High,2.00,Yes,7.00,Low,Low,24.00,6.00
Irish Wolfhound,Ireland,Hound,Tallest dog breed,7.00,7.00,Giant,Moderate,2.00,Yes,6.00,Moderate,High,54.00,6.00
Italian Greyhound,Italy,Toy,Miniature sight hound,7.00,13.00,Small,Low,1.50,No,7.00,Low,Moderate,4.00,7.00
Japanese Chin,Japan,Toy,Eastern expression,7.00,11.00,Small,Moderate,1.00,Yes,7.00,Moderate,Low,3.00,6.00
Japanese Spitz,Japan,Non-Sporting,Snow-white coat,8.00,13.00,Small,High,1.50,Yes,8.00,High,Low,6.00,6.00
Keeshond,Netherlands,Non-Sporting,Spectacles marking,8.00,13.00,Medium,High,1.50,Yes,8.00,High,Low,16.00,6.00
Kerry Blue Terrier,Ireland,Terrier,Blue coat,7.00,13.00,Medium,High,1.50,Yes,7.00,Low,Low,16.00,7.00
Komondor,Hungary,Working,Corded coat,6.00,11.00,Large,Very High,2.00,With Training,6.00,Low,Low,40.00,8.00
Kuvasz,Hungary,Working,White guardian,6.00,11.00,Large,Moderate,2.00,With Training,7.00,Moderate,Moderate,42.00,8.00
Labrador Retriever,Canada,Sporting,Water-resistant coat,10.00,11.00,Large,Moderate,2.00,Yes,8.00,High,Moderate,30.00,4.00
Lakeland Terrier,England,Terrier,Square build,7.00,13.00,Small,Moderate,1.50,Yes,7.00,Low,Low,7.00,7.00
Leonberger,Germany,Working,Lion-like mane,8.00,9.00,Giant,High,2.00,Yes,7.00,High,High,61.00,8.00
Lhasa Apso,Tibet,Non-Sporting,Floor-length coat,6.00,13.00,Small,Very High,1.00,No,7.00,Low,Low,6.00,8.00
Lowchen,France,Non-Sporting,Lion cut,8.00,14.00,Small,High,1.50,Yes,8.00,Low,Low,6.00,6.00
Maltese,Malta,Toy,Pure white coat,8.00,13.00,Small,Very High,1.00,No,7.00,Low,Low,2.50,6.00
Manchester Terrier,England,Terrier,Sleek and athletic,7.00,15.00,Small-Medium,Low,1.50,With Training,8.00,Moderate,Low,7.00,7.00
Mastiff,England,Working,Massive size,6.00,9.00,Giant,Low,1.50,Yes,6.00,Moderate,High,78.00,7.00
Miniature Pinscher,Germany,Toy,Fearless nature,6.00,13.00,Small,Low,1.50,No,7.00,Low,Low,4.00,8.00
Miniature Schnauzer,Germany,Standard,Small but sturdy,8.00,12.00,Small,High,1.50,Yes,8.00,Moderate,Low,8.00,6.00
Neapolitan Mastiff,Italy,Working,Wrinkly loose skin,6.00,8.00,Large,Moderate,1.00,Yes,5.00,Moderate,High,70.00,8.00
Newfoundland,Canada,Working,Water rescue ability,9.00,9.00,Giant,High,2.00,Yes,7.00,Moderate,Moderate,61.00,7.00
Norfolk Terrier,England,Terrier,Bat-like ears,8.00,14.00,Small,Low,1.50,Yes,7.00,Low,Low,5.00,6.00
Norwegian Buhund,Norway,Herding,Spitz-type appearance,8.00,12.00,Medium,Moderate,2.00,Yes,7.00,Moderate,Low,12.00,6.00
Norwegian Elkhound,Norway,Hound,Gray coat,7.00,12.00,Medium,Moderate,2.00,Yes,7.00,Moderate,Moderate,23.00,7.00
Norwegian Lundehund,Norway,Non-Sporting,Unique extra toes,7.00,12.00,Small,High,2.00,Yes,7.00,Moderate,High,8.00,7.00
Old English Sheepdog,England,Herding,Fluffy appearance,8.00,10.00,Large,Very High,2.00,Yes,6.00,High,Moderate,32.00,6.00
Otterhound,England,Hound,Rough-coated,7.00,10.00,Large,Very High,2.50,Yes,6.00,High,Moderate,37.00,7.00
Papillon,France,Toy,Butterfly-shaped ears,9.00,13.00,Small,Moderate,1.00,Yes,8.00,Low,Low,3.00,5.00
Pekingese,China,Toy,Lion-like appearance,6.00,12.00,Small,Very High,1.00,With Training,5.00,Moderate,High,5.00,7.00
Pembroke Welsh Corgi,Wales,Herding,Short legs long body,9.00,12.00,Small,Moderate,2.00,Yes,8.00,Moderate,Moderate,12.00,5.00
Petit Basset Griffon Vendeen,France,Hound,Low-to-the-ground,7.00,12.00,Small,High,2.00,Yes,6.00,High,Moderate,15.00,7.00
Pharaoh Hound,Malta,Hound,Regal appearance,7.00,12.00,Medium,Moderate,2.00,Yes,8.00,Moderate,Low,20.00,7.00
Pointer,England,Sporting,Distinctive stance,8.00,12.00,Medium,Moderate,2.50,Yes,7.00,Moderate,Moderate,25.00,6.00
Pomeranian,Germany,Toy,Fluffy double coat,8.00,12.00,Small,High,1.00,Yes,7.00,High,Moderate,3.00,7.00
Poodle (Miniature),France,Non-Sporting,Curly hypoallergenic coat,8.00,15.00,Small,Very High,1.50,Yes,8.00,Low,Low,7.00,6.00
Poodle (Standard),France,Non-Sporting,Curly coat,9.00,12.00,Large,Very High,2.00,Yes,8.00,Moderate,Moderate,22.00,5.00
Poodle (Toy),France,Toy,Compact poodle,9.00,15.00,Toy,Very High,1.00,Yes,8.00,Low,Low,4.00,5.00
Portuguese Podengo,Portugal,Hound,Perky ears,7.00,12.00,Medium,Moderate,2.00,Yes,8.00,Moderate,Low,15.00,8.00
Portuguese Water Dog,Portugal,Sporting,Curly weatherproof coat,8.00,11.00,Medium,High,2.00,Yes,8.00,Moderate,Moderate,18.00,6.00
Pudelpointer,Germany,Sporting,Versatile hunting,7.00,12.00,Medium,Moderate,2.50,Yes,8.00,Moderate,Low,23.00,7.00
Pug,China,Toy,Wrinkled face,8.00,12.00,Small,Moderate,1.00,Yes,7.00,Moderate,High,7.00,6.00
Pyrenean Mountain Dog,France,Working,Guard dog,7.00,10.00,Giant,High,2.00,Yes,6.00,High,High,54.00,7.00
Rat Terrier,USA,Terrier,Athletic agile,7.00,15.00,Small-Medium,Low,2.00,Yes,7.00,Moderate,Moderate,5.00,7.00
Redbone Coonhound,USA,Hound,Redish coat,8.00,12.00,Medium,Moderate,2.00,Yes,6.00,Moderate,Low,25.00,7.00
Rhodesian Ridgeback,Africa,Hound,Ridge of fur on back,6.00,11.00,Large,Moderate,2.50,With Training,8.00,Moderate,Moderate,36.00,7.00
Rottweiler,Germany,Working,Powerful guarding,7.00,9.00,Large,Moderate,2.00,With Training,8.00,High,High,40.00,8.00
Saint Bernard,Switzerland,Working,Large size,9.00,8.00,Giant,High,2.00,Yes,6.00,High,Moderate,68.00,7.00
Saluki,Middle East,Hound,Slender elegant,6.00,12.00,Medium,Moderate,2.50,No,7.00,Moderate,Moderate,22.00,7.00
Samoyed,Siberia,Working,Fluffy white coat,9.00,12.00,Medium,High,2.00,Yes,7.00,High,Moderate,21.00,7.00
Schipperke,Belgium,Non-Sporting,Tailless appearance,7.00,13.00,Small,Moderate,2.00,No,7.00,Moderate,Moderate,7.00,7.00
Scottish Deerhound,Scotland,Hound,Greyhound-like,6.00,8.00,Large,Moderate,2.00,Yes,6.00,Moderate,Moderate,41.00,7.00
Scottish Terrier,Scotland,Terrier,Sturdy low-set,7.00,12.00,Small,Moderate,1.50,Yes,6.00,Moderate,High,9.00,7.00
Shetland Sheepdog,Scotland,Herding,Miniature Collie,9.00,12.00,Medium,High,2.00,Yes,8.00,High,Moderate,11.00,5.00
Shiba Inu,Japan,Non-Sporting,Fox-like expression,7.00,13.00,Small,Moderate,2.00,No,7.00,Moderate,Moderate,9.00,7.00
Shih Tzu,China,Toy,Long flowing coat,8.00,14.00,Small,Very High,1.00,Yes,6.00,Moderate,Moderate,4.00,7.00
Siberian Husky,Siberia,Working,Piercing eyes,8.00,12.00,Medium,Moderate,2.50,Yes,7.00,Moderate,Moderate,21.00,7.00
Silky Terrier,Australia,Terrier,Silky blue coat,7.00,13.00,Small,High,1.50,Yes,7.00,Moderate,Low,4.00,7.00
Skye Terrier,Scotland,Terrier,Long low body,7.00,13.00,Small,Moderate,1.50,No,6.00,Moderate,Moderate,8.00,7.00
Sloughi,North Africa,Hound,Powerful hunter,6.00,12.00,Medium,Low,2.50,With Training,7.00,Low,Moderate,18.00,7.00
Smooth Fox Terrier,England,Terrier,Energetic,7.00,13.00,Small,Low,2.00,Yes,7.00,Moderate,Moderate,7.00,7.00
Soft-Coated Wheaten Terrier,Ireland,Terrier,Soft wavy coat,8.00,12.00,Medium,High,2.00,Yes,7.00,Moderate,Moderate,12.00,6.00
Spanish Water Dog,Spain,Sporting,Curly waterproof coat,7.00,12.00,Medium,Very High,2.00,Yes,8.00,Moderate,Moderate,15.00,6.00
Spinone Italiano,Italy,Sporting,Shaggy coat,7.00,12.00,Large,High,2.00,Yes,7.00,Moderate,Moderate,32.00,7.00
Staffordshire Bull Terrier,England,Terrier,Muscular strength,7.00,12.00,Medium,Low,2.00,Yes,7.00,Moderate,High,16.00,7.00
Standard Poodle,France,Non-Sporting,Intelligent,9.00,12.00,Large,Very High,2.00,Yes,8.00,Moderate,Moderate,26.00,5.00
Standard Schnauzer,Germany,Standard,Distinct beard,7.00,15.00,Medium,High,2.00,Yes,7.00,Moderate,Moderate,14.00,6.00
Sussex Spaniel,England,Sporting,Low-set body,7.00,11.00,Medium,High,1.50,Yes,6.00,Moderate,Moderate,18.00,6.00
Swedish Vallhund,Sweden,Herding,Corgi-like,8.00,12.00,Medium,Moderate,2.00,Yes,8.00,Moderate,Low,12.00,7.00
Thai Ridgeback,Thailand,Hound,Ridge of fur on back,6.00,12.00,Medium,Moderate,2.00,With Training,7.00,Moderate,Moderate,15.00,7.00
Tibetan Mastiff,Tibet,Working,Imposing appearance,7.00,10.00,Large,High,2.00,With Training,6.00,Moderate,Moderate,45.00,8.00
Toy Fox Terrier,USA,Toy,Miniature Fox Terrier,8.00,15.00,Toy,Moderate,1.50,Yes,8.00,Low,Low,2.00,7.00
Treeing Walker Coonhound,USA,Hound,Tracking ability,8.00,12.00,Medium,Moderate,2.00,Yes,7.00,Moderate,Moderate,20.00,7.00
Welsh Springer Spaniel,Wales,Sporting,Compact build,8.00,13.00,Medium,High,2.00,Yes,7.00,Moderate,Moderate,16.00,6.00
Welsh Terrier,Wales,Terrier,Distinctive eyebrows,7.00,14.00,Medium,Moderate,1.50,Yes,7.00,Moderate,Moderate,9.00,7.00
West Highland White Terrier,Scotland,Terrier,White coat,8.00,13.00,Small,Moderate,1.50,Yes,7.00,Moderate,Moderate,7.00,7.00
Whippet,England,Hound,Miniature Greyhound,7.00,13.00,Medium,Low,2.00,Yes,8.00,Low,Low,8.00,6.00
Wire Fox Terrier,England,Terrier,Energetic,7.00,14.00,Small,Moderate,2.00,Yes,7.00,Moderate,Moderate,8.00,7.00
Wirehaired Dachshund,Germany,Hound,Wiry coat,7.00,13.00,Small,Moderate,1.50,With Training,7.00,Moderate,High,8.00,7.00
Wirehaired Pointing Griffon,Netherlands,Sporting,Shaggy beard,7.00,13.00,Medium,High,2.00,Yes,7.00,Moderate,Moderate,20.00,6.00
Yorkshire Terrier,England,Toy,Long silky coat,8.00,13.00,Toy,High,1.00,Yes,7.00,Moderate,Moderate,2.50,6.00
